code,名称,类型,日期,净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,f1,f2,f3,f4,f5,f6,f7,可购买,f9,起购金额,费率,e1,e2,e3
002587,金鹰添利信用债债券C,债券型,2025/11/20,1.2762,-0.31,-1.79,2.24,2.95,13.99,21.77,21.72,20.16,19.46,61.05,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
519976,长信可转债债券C,债券型,2025/11/20,1.8133,-0.39,-2.29,0.58,0.25,14.62,21.76,20.33,11.89,19.06,240.19,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
530020,建信转债增强债券A,债券型,2025/11/20,3.563,-0.47,-2.03,3.04,2.59,14.64,21.69,20.53,17.94,18.89,256.3,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
022105,金鹰添利信用债债券E,债券型,2025/11/20,1.2741,-0.31,-1.8,2.24,2.93,13.93,21.66,,,19.35,33.99,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
400029,东方双债添利债券C,债券型,2025/11/20,1.3868,-0.16,-1.41,2.15,1.83,13.13,21.63,17.65,15.12,20.31,102.98,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
040013,华安强化收益债券B,债券型,2025/11/20,1.4372,-0.42,-1.28,0.56,3.22,13.41,21.62,30.42,33.11,19.4,192.51,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
163816,中银转债增强债券A,债券型,2025/11/20,3.4341,-0.37,-1.69,1.67,2.75,15.45,21.49,30.19,31.18,20.6,243.41,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
720003,财通收益增强债券A,债券型,2025/11/20,1.7315,-0.39,-1.33,1.35,1.33,19.65,21.4,30.62,26.2,21.77,128.4,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
531020,建信转债增强债券C,债券型,2025/11/20,3.394,-0.47,-2.05,3,2.51,14.43,21.26,19.68,16.71,18.55,239.4,3,0,1,0,0,,043_045,1,1,10元,0.00%,0.00%,0.00%,0,
163817,中银转债增强债券B,债券型,2025/11/20,3.2573,-0.38,-1.69,1.64,2.66,15.25,21.07,29.28,29.81,20.23,225.73,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
003204,财通收益增强债券C,债券型,2025/11/20,1.6399,-0.38,-1.33,1.32,1.23,19.42,20.92,29.59,24.7,21.35,106.22,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
001751,华商信用增强债券A,债券型,2025/11/20,1.827,-0.38,-1.56,3.22,3.75,12.43,20.83,29.94,27.14,20.44,82.7,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
000536,前海开源可转债债券A,债券型,2025/11/20,1.4001,-0.48,-1.97,2.62,3.6,16.13,20.8,5.75,2.5,19.16,99.9,3,1,1,0.08,0,,043_045_080,1,1,10元,0.80%,0.08%,0.08%,1,
007032,平安可转债债券A,债券型,2025/11/20,1.2988,-0.27,-1.43,3.26,0.79,13.45,20.72,16.7,6.04,18.49,29.88,3,1,1,0.06,0,,043_045,1,1,10元,0.60%,0.06%,0.06%,1,
003458,嘉实稳宏债券A,债券型,2025/11/20,1.6877,-0.41,-1.81,2.45,4.41,18.27,20.6,17.54,12.86,21.52,68.77,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
001752,华商信用增强债券C,债券型,2025/11/20,1.754,-0.34,-1.57,3.18,3.66,12.22,20.38,28.97,25.64,20.05,75.4,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
006254,长城久悦债券A,债券型,2025/11/20,1.2042,-0.5,-1.81,2.02,-0.07,13.03,20.38,11.41,12.82,18.5,20.42,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
008331,万家可转债债券A,债券型,2025/11/20,1.4273,-0.17,-1.73,3.17,1.66,13.04,20.28,20.32,21,18.22,42.73,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
007033,平安可转债债券C,债券型,2025/11/20,1.2667,-0.27,-1.45,3.23,0.68,13.22,20.23,15.79,4.77,18.06,26.67,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
000014,华夏聚利债券A,债券型,2025/11/20,2.0998,-0.21,-1.03,2.68,2.45,15,20.22,18.23,18.9,18.85,109.98,3,1,1,0.06,0,,043,1,1,10元,0.60%,0.06%,0.06%,1,
003459,嘉实稳宏债券C,债券型,2025/11/20,1.6385,-0.41,-1.82,2.41,4.32,18.06,20.18,16.72,11.68,21.14,63.85,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
530017,建信双息红利债券A,债券型,2025/11/20,1.272,0,-1.01,1.35,4.09,15.64,20.11,21.96,19.21,18.66,137.74,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
100035,富国优化增强债券A/B,债券型,2025/11/20,2.068,-0.14,-0.91,-0.05,-1.76,7.32,20.09,27.89,29.79,17.83,154.31,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
005246,国泰可转债债券A,债券型,2025/11/20,1.6323,-0.07,-1.5,4.79,-0.27,13.06,20.05,24.08,15.58,17.92,63.23,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
