indexCode,indexName,indexNameEn,查看地址
399967,中证军工,CSI National Defense,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399967
399970,移动互联,Mobile Internet,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399970
399971,中证传媒,CSI Media,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399971
399972,300深市,300 SZSE,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399972
399973,中证国防,CSI Defense,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399973
399974,国企改革,CSI SOEs Reform,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399974
399975,证券公司,All Share Brokerage,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399975
399976,CS新能车,New Energy Vehicles,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399976
399983,地产等权,300 Real Estate EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399983
399986,中证银行,CSI Banks,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399986
399987,中证酒,CSI Alcoholic Drink,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399987
399989,中证医疗,CSI Medical Service,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399989
399990,煤炭等权,CSI Coal EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399990
399991,一带一路,CSI OBOR,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399991
399992,CSWD并购,CSWD M&A,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399992
399993,CSWD生科,CSWD Biotechnology,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399993
399994,信息安全,CSI Info-security,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399994
399995,基建工程,Const-Engineering,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399995
399996,智能家居,CSI Smart Home,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399996
399997,中证白酒,CSI Liquor,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399997
399998,中证煤炭,CSI Coal,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399998
931800,绿色生态,Green Ecology,https://www.csindex.com.cn/#/indices/family/detail?indexCode=931800
000171,新兴成指,Emerging Component Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000171
000801,资源80,CSI Resource 80,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000801
000803,300波动,CSI300VW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000803
000804,500波动,CSI500VW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000804
000805,A股资源,A Share Resource,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000805
000806,消费服务,Consumption and Services,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000806
000807,食品饮料,Food & Beverage,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000807
000808,医药生物,Health Care,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000808
000811,细分有色,non-ferrous metal Sub-industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000811
000812,细分机械,Machinery Sub-industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000812
000813,细分化工,Chemicals Sub-industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000813
000815,细分食品,Food & Beverage Sub-industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000815
